,제목,본문,본문 댓글,답변,태그,,
75,우분투 서버에서 euc-kr을 기본 로케일로할시 2중모음?이 깨집니다,"우분투 14이며, 서버용 운영체제 입니다.

기본 Locale을 euc-kr로 해둔 상태입니다.

파일질라로 연결했으며,파일질라 인코딩을 cp949로 해뒀습니다.

 

일반 한글은 안깨집니다

예)

안녕하세요

( 서버 프로그램에서 읽어들일때 안깨져요.)

 

그런데 이런 한글은 깨집니다.

예)

얘 꽑 뷁 붉 붉 닭 똵 볓 벛 볐 쪘 등..

 

아예프로그램에서 인식을 못하더니, 파일을 열어보니 저부분만 ?로 깨져있었습니다.

 

방법이 없는건가요?",No Comments Exist,"
그런 글자는 EUC-KR 범위를 넘어가는 것 같습니다.

UTF-8 을 사용하세요..

참고로 EUC-KR 의 문자 표현 범위는 2350 글자

CP949 의 문자 표현 범위 8822 글자

UTF-8 의 문자 표현 범위는 현대 한글 11172 글자 모두 포함하고 그 이상 표현 가능.




<---------댓글----------->



그럴경우, 소켓 통신을 윈도우 운영체제 컴퓨터와 통신을 할경우 한글이 깨집니다.
왜이러는 것일까요? (자바 서버, 자바 클라이언트) 서버는 리눅스에서열고 클라는 윈도우쪽에서 실행 합니다.



자바도 내부적으로 유니코드를 씁니다.
UniOutput.write()를 이용하시면 됩니다.
윈도우건 리눅스건 전부 다 utf-8을 이용하시는게 좋습니다.
euc-kr이건 cp949건 uhc건 jis건 간에 MBCS(multibyte character set)로 코드를 작성할 경우, 다국어 지원할때 미치실지도 모릅니다(경험담).



*************************************************************
","한글
깨짐",,
76,삼바 설정시 파일에 대한 권한이 설정되는 부분을 알려주세요,"drwxrwx 1 lfuser lfuser ABC

파일을 만들었을 때 접속된 아이디로 파일이 생성되는건 알겠는데 그룹생성은 어떻게 되는지 모르겠습니다.

>/etc/group

에 그룹설정을 만들어놔서

ex) als:x:1004:cpuser,lfuser,alsadmin,qauser,lfdwg

chown 으로 권한을 넘길때 그룹명에 als 를 넣어줬습니다.

그랬을 경우에 권한 문제가 발생할 때 해결이 되었지만 임시적인 방편이더라구요

파일을 생성할때 그룹에 삼바 아이디를 그룹핑한 저 als그룹으로 파일그룹권한을 줄 수 있는 방법을 문의합니다.

-rwxrwxrwx lfuser als ABC 이런식으로 생성 될 수 있게요",No Comments Exist,No Answers Exist,"삼바
samba
permission
권한",,
77,우분투 에서의 .bash_profile 과 .bashrc,"
안녕하세요~ Linux From Scratch 라는 강좌를 따라하면서 저만의 운영체제를 만들어 보고 있는 중입니다!
현재 우분투 14.04.2 LTS 버전 사용 중입니다!

따라하다 보니 .bash_profile 에 작성하라는 명령어가 있는데, 우분투 14.04 에는 .bash_profile 이 없더라고요...
그래서 찾아보니 우분투에서는 .bash_profile 대신 .bashrc 를 쓴다고 하더라고요~

만약 그렇다면 .bash_profile 에 작성해야 할 내용을 .bashrc 에 작성해도 괜찮겠지요....??

고수 여러분들의 답변을 기다립니다!
제 질문 읽어 주셔서 감사드립니다~﻿",No Comments Exist,"
네... .bashrc 에 작성하시면 될 것 같습니다.




<---------댓글----------->



감사합니다! :)



*************************************************************
","우분투
bashrc
bash_profile",,
78,우분투 14.04LTS를 쓰고 있는 데요 부팅해서 약1분여간은 한영전환이 안되고 로그아웃 직전의 활성화된 언어만 입력이 됩니다.,"우분투 14.04LTS를 쓰고 있는 데요 부팅해서 약1분여간은 한영전환이 안되고 로그아웃 직전의 활성화된 언어만 입력이 됩니다.

그러니까 한글입력 상태로 컴퓨터를 끄면 다시 켰을때 1분여간은 한글만 입력이 되고 영어 전환이 안되고요..  영어 입력 상태로 끄면 한글입력이 안되고 영어만 입력이 됩니다. 처음엔 안그랬는데 어느 순간 그렇게 되더라구요..

물론 1분여를 기다리면 된다지만.. 급할땐 은근히 불편하더라구요.. 이거 어떻게 해결하는 방법 없을까요?

 

 Ubuntu 14.04 LTS / 기본 한글입력기(IBus)사용중",No Comments Exist,"
ibus 말고 다솜입력기를 써보세요




<---------댓글----------->



*************************************************************
","한글
ibus
부팅
언어
입력",,
79,Oracle Database 11g Release 2 설치하기가 정말 힘드네요.,"
우분투를 공부하고 있는 뉴비 입니다.
Oracle Database 11g Release 2를 설치를 하려는데,
제대로 나와있는 가이드라인이 없네요 ㅠㅠ
벌써 설치했다 지웠다를 한지 샐수가 없네요.
가이드라인이나 설치법이 잘 나와있는 자료 없을까요?",No Comments Exist,"
오라클에서 직접 제공한 문서입니다.

각종 os에 맞는 설치 가이드가 전부 있습니다.

http://docs.oracle.com/cd/E11882_01/nav/portal_11.htm




<---------댓글----------->



*************************************************************
","oracle
install
java",,
80,다솜입력기에서 Shift-space로 한영전환이 안되나요?,"다솜입력기를 사용중인데요,

한영키로만 한영전환이 가능하네요..

Shift-space로 변경은 어떻게 하는건지요?",키보드 모델명을 알고 싶습니다,"
관련 이슈입니다.

https://github.com/dasom-im/dasom/issues/17

참고하시기 바랍니다.




<---------댓글----------->



2015.11.4 수정함
다솜 입력기가 예상외로 반응이 뜨거워서 그 호응에 보답하고자,
다솜 프로젝트, 다솜 정음 엔진 모듈(한글 엔진 모듈)을 계속 하기로 했습니다.
제 기분에 따라 프로젝트를 좌지우지하는 것은 바람직하지 못하다고 봅니다.
그래서 개인 프로젝트에서 단체 프로젝트로 성격을 바꾸고 있습니다.
프로젝트도 https://github.com/dasom-im 으로 단체 주소로 옮겼습니다.

심려를 끼쳐드려 죄송합니다.
다솜 프로젝트는 계속됩니다.

감사합니다.



*************************************************************
","입력
한글",,
81,네트워크 본딩 원래대로 돌리는 방법 알고 싶습니다.,"본딩 구성 방법은 많이 있으나 구성 전으로 돌리는 방법은 아무리 찾아봐도 없습니다.

서버에서 본딩을  중지하는 것이 아니고 아예 처음 구성으로 돌아가고 싶습니다.

답변 부탁 드림.....제발~~~~",No Comments Exist,"
안녕하세요! 

bonding을 하기 전으로 돌아간다 함은 bonding을 해제하신다는 말인가요?

shell에서 ip a 혹은 ifconfig 명령어 결과를 적어주세요!




<---------댓글----------->



*************************************************************
",ubuntu,,
82,targetcli 에서 iser_enable시 IOError에 대해서 아시는분 계신가요?,"/> ls
o- / ................................................................................................................. [...]
  o- backstores ...................................................................................................... [...]
  | o- fileio ........................................................................................... [0 Storage Object]
  | o- iblock ........................................................................................... [0 Storage Object]
  | o- pscsi ............................................................................................ [0 Storage Object]
  | o- rd_dr ............................................................................................ [0 Storage Object]
  | o- rd_mcp ........................................................................................... [1 Storage Object]
  |   o- test1 ......................................................................................... [ramdisk activated]
  o- iscsi ...................................................................................................... [1 Target]
  | o- iqn.2003-01.org.linux-iscsi.clotho.x8664:sn.371d9af56d28 .................................................... [1 TPG]
  |   o- tpgt1 ................................................................................................... [enabled]
  |     o- acls ................................................................................................... [0 ACLs]
  |     o- luns .................................................................................................... [1 LUN]
  |     | o- lun0 ................................................................................. [rd_mcp/test1 (ramdisk)]
  |     o- portals .............................................................................................. [1 Portal]
  |       o- 192.168.100.10:3260 ....................................................................... [OK, iser disabled]
  o- loopback .................................................................................................. [0 Targets]
  o- qla2xxx ................................................................................................... [0 Targets]
  o- tcm_fc .................................................................................................... [0 Targets]
/> iscsi/iqn.2003-01.org.linux-iscsi.clotho.x8664:sn.371d9af56d28/tpgt1/portals/192.168.100.10:3260
@last         cd            get           iser_disable  ls            refresh       status        
bookmarks     exit          help          iser_enable   pwd           set           
....................................................................................................command
/> iscsi/iqn.2003-01.org.linux-iscsi.clotho.x8664:sn.371d9af56d28/tpgt1/portals/192.168.100.10:3260 iser_enable
Traceback (most recent call last):
  File ""/usr/lib/python2.7/dist-packages/configshell/shell.py"", line 983, in run_interactive
    self._cli_loop()
  File ""/usr/lib/python2.7/dist-packages/configshell/shell.py"", line 806, in _cli_loop
    self.run_cmdline(cmdline)
  File ""/usr/lib/python2.7/dist-packages/configshell/shell.py"", line 927, in run_cmdline
    self._execute_command(path, command, pparams, kparams)
  File ""/usr/lib/python2.7/dist-packages/configshell/shell.py"", line 902, in _execute_command
    result = target.execute_command(command, pparams, kparams)
  File ""/usr/lib/python2.7/dist-packages/targetcli/ui_node.py"", line 216, in execute_command
    return UINode.execute_command(self, command, pparams, kparams)
  File ""/usr/lib/python2.7/dist-packages/targetcli/ui_node.py"", line 101, in execute_command
    pparams, kparams)
  File ""/usr/lib/python2.7/dist-packages/configshell/node.py"", line 1405, in execute_command
    result = method(*pparams, **kparams)
  File ""/usr/lib/python2.7/dist-packages/targetcli/ui_target.py"", line 1042, in ui_command_iser_enable
    self.portal._set_iser_attr(True)
  File ""/usr/lib/python2.7/dist-packages/rtslib/target.py"", line 870, in _set_iser_attr
    fwrite(path, ""1"")
  File ""/usr/lib/python2.7/dist-packages/rtslib/utils.py"", line 106, in fwrite
    file_fd.close()
IOError: [Errno 22] Invalid argument
/>

 

ububtu 14.04.3 LTS 사용중이며 iser 설정및 모듈 확인도 다 했습니다.

TGT설정에서는 정상인데 LIO에서만 iser_enable시 오류메세지와 함께 활성화가 안되네요

혹 비슷한 경험이 있으신분 조언 부탁드립니다.",No Comments Exist,No Answers Exist,iser,,
83,운영 체제의 시간 오차,"
제가 Dell Inspiron 11 3147에 Win 10과 Ubuntu 15.10을 Dual-boot로 쓰고 싶은 운영체제를 골라 쓰고 있습니다.
Grub 설치되어 있습니다.
저의 문제는 이 두 운영 체제 간의 시간 표시에 있습니다. ubuntu에서는 정상적으로 정확한 시간이 표시가 되는데 windows 10에선 그렇지 않고, 또 windows 10에서 정확히 표시 된다면 ubuntu는 안 그렇고.
업그래이드 전에도 이런 문제가 생겼는데... 이걸 어떻게 하면 좋나요? 그냥 무시할까요?",No Comments Exist,"
윈도우와 우분투가 서로 다른 시간체계?를 가지고있어서입니다.

리눅스를 윈도우가 사용하는 로컬 시간으로 사용하면 될듯합니다.

/etc/default/rcS에서 UTC=yes를 UTC=no로 고치면 됩니다.




<---------댓글----------->



*************************************************************
",시간-오차-문제,,
84,우분투 스크린샷에 문제가 있습니다.,"
안녕하세요? Lex와 Yacc을 이용해 컴파일러를 공부중인 학생입니다.
1~2개월가량 우분투를 잘 이용하고 있었는데요, 어떤 이유에서인지 스크린샷이 안되는 문제가 발생했습니다.
아래와 같은 상황에 대해 해결책을 함께 고민해 주시면 감사하겠습니다!!
(WIndows 8.1에서 Oracle VirtualBox를 이용해 Ubuntu 14.04 LTS 버전 이용중입니다.)
 
우선, 아래 [그림 1]과 [그림 2]를 참조해 주시길 바랍니다.

[그림 1]

[그림2]
[그림 1]과 [그림 2]는 같은상황에서 다른 문제점이 발생하는 경우입니다.
 
[그림 1]은 터미널 창을 띄운후 [Alt + PrintScreen] 버튼을 통해 활성창을 캡쳐한 모습입니다.
정상적이라면 터미널창이 캡쳐되어야하나 [그림 1]에서는 터미널 창 크기만큼 배경화면이 캡쳐됩니다.
 
[그림 2]의 경우는 동일하게 [Alt + PrintScreen] 버튼을 통해 터미널 창을 캡쳐한 모습인데요,
이 경우에는 터미널 창 크기만큼 검정색의 화면만 캡쳐되는 모습을 보여주고 있습니다.
 
이러한 문제점은 전체 화면을 캡쳐하는 [PrintScreen]과 클립보드로 캡쳐화면을 복사하는 [Ctrl + PrintScreen]에서도 동일한 문제점을 발생시키고 있습니다.
또한, Shutter라는 프로그램을 설치하여 화면을 캡쳐하더라도 동일한 문제가 발생했습니다.
지금은 불편하지만 Window에서 '칼무리'라는 캡쳐프로그램을 이용해 화면을 캡쳐하고있습니다.
 
위와같은 문제에 대한 해결책이 있을까요? 알려주시면 감사하겠습니다~!! ^^",No Comments Exist,"
가상환경 설정에 일반 -> 고급(A) -> 클립보드 공유(S) 를 양방향으로 맞춘다음,

다시 디스플레이 -> 비디오(V) -> 확장 기능에 들어가서 3차원 가속 사용을 해제하시면됩니다.




<---------댓글----------->



감사합니다! 잘 작동되네요!!



*************************************************************
","우분투
스크린샷
ubuntu
screenshot",,
